year,country_name
1970,Bolivia
1970,Malaysia
1970,Somalia
1971,Cambodia
1971,Lesotho
1972,Ecuador
1972,Madagascar
1972,Philippines
1972,The Gambia
1973,Cambodia
1973,Chile
1973,Ghana
1973,Honduras
1973,Uruguay
1974,Afghanistan
1974,Chile
1974,Rwanda
1975,Bangladesh
1975,India
1975,Laos
1975,Mauritania
1976,Argentina
1976,Cape Verde
1977,Argentina
1977,Jamaica
1977,Thailand
1977,Vietnam
1978,Comoros
1978,Malawi
1978,Pakistan
1978,Zimbabwe
1979,Equatorial Guinea
1979,Nicaragua
1980,El Salvador
1980,Suriname
1980,Turkey
1981,Bolivia
1981,Burkina Faso
1981,Ghana
1981,Philippines
1982,Djibouti
1982,Sri Lanka
1983,Bangladesh
1983,Guatemala
1984,Nigeria
1984,Somalia
1985,South Africa
1985,Sudan
1985,Uganda
1987,Fiji
1987,Tunisia
1988,Burundi
1989,Haiti
1990,Dominican Republic
1990,Sudan
1991,Laos
1991,Liberia
1991,Suriname
1991,Thailand
1992,Estonia
1992,Haiti
1992,Peru
1993,Angola
1993,Russia
1993,Sierra Leone
1994,Namibia
1994,Nigeria
1994,Uganda
1995,Armenia
1995,Lesotho
1995,The Gambia
1996,Belarus
1996,Burundi
1996,Niger
1997,Papua New Guinea
1997,Republic of the Congo
1998,Sierra Leone
1998,Ukraine
1999,Lesotho
1999,Pakistan
2000,Comoros
2000,Fiji
2000,Iraq
2000,Malawi
2000,North Macedonia
2000,Solomon Islands
2001,Madagascar
2001,Tanzania
2002,Bangladesh
2002,Nepal
2003,Venezuela
2004,Central African Republic
2004,Liberia
2004,Papua New Guinea
2004,Philippines
2005,Haiti
2005,Moldova
2005,Sri Lanka
2006,Fiji
2006,Mauritania
2006,Montenegro
2006,Solomon Islands
2006,Thailand
2007,Bangladesh
2007,Fiji
2007,Nicaragua
2008,Mauritania
2009,Guinea
2009,Honduras
2009,Madagascar
2009,Niger
2009,Tanzania
2010,Hungary
2010,Madagascar
2010,Niger
2011,Kosovo
2011,Ukraine
2012,Mali
2012,Nepal
2012,North Macedonia
2013,Egypt
2013,Guinea-Bissau
2013,Latvia
2013,Maldives
2013,Montenegro
2013,Serbia
2013,Slovakia
2013,South Africa
2013,Syria
2013,Thailand
2013,Turkey
2014,Libya
2014,Thailand
2014,Uzbekistan
2014,Zambia
2015,Benin
2015,Burkina Faso
2015,Comoros
2015,Ghana
2015,Tanzania
2016,Kenya
2016,Latvia
2016,Lithuania
2016,Poland
2016,Vietnam
2016,Yemen
2017,Botswana
2017,Mauritius
2018,Greece
2018,Hungary
2018,Lebanon
2018,Philippines
2019,Albania
2019,Benin
2019,Bolivia
2019,Chile
2019,India
2019,Malawi
2019,Mali
2019,Sudan
2020,Czech Republic
2020,Ivory Coast
2020,Portugal
2020,Slovenia
